run_id,family,family_alias_seen,status,data_source,normalization,hvg_method,hvg_input_layer,log1p_applied,hvg_batch_key,data_file,framing,condition,source,target,transport_direction,holdout_cell_types,holdout_species,train_includes_holdout,datasplit_strategy,model_name,hidden_units,latent_dim,n_iters,n_inner_iters,batch_size,lr,optimizer,ae_emb_path,generated_by,created_at,last_modified,model_dir,n_evals,evals_summary
baseline/speciesot_cd8/cellot,cellot_celltype,cellot,never_started,speciesot-human-mouse,stale,,,,,datasets/speciesot-human-mouse/cd8_holdout_swapped_v07.h5ad,cell_type,condition,non_cd8,cd8,non_cd8 → cd8,,,,train_test,cellot,64;64;64;64,50,50000,10,128,0.0001,Adam,./results/speciesot_cd8/speciesot_scgen/,,2026-03-25 16:16:49.816220,2026-03-25 16:16:49.816220,/n/holylabs/mooney_lab/Lab/junyizhou/speciesOT/speciesOT/baseline/results/speciesot_cd8/cellot,1,evals_ood_data_space: R²=0.615 MMD=—
baseline/speciesot_cd8/impact_or,impact_cellot,impact_or,never_started,speciesot-human-mouse,stale,,,,,datasets/speciesot-human-mouse/cd8_holdout_v07.h5ad,species,condition,mouse,human,mouse → human,,,,train_test,cellot,64;64;64;64,50,50000,10,128,0.0001,Adam,./results/speciesot_cd8/speciesot_scgen/,,2026-03-25 16:16:49.793857,2026-03-25 16:16:49.793857,/n/holylabs/mooney_lab/Lab/junyizhou/speciesOT/speciesOT/baseline/results/speciesot_cd8/impact_or,1,evals_ood_data_space: R²=0.681 MMD=—
baseline/speciesot_cd8/speciesot_scgen,scgen,speciesot_scgen,never_started,speciesot-human-mouse,stale,,,,,datasets/speciesot-human-mouse/ae_training_expanded_v07.h5ad,species,condition,mouse,human,mouse → human,,,,train_test,scgen,256;256,50,50000,,256,0.001,Adam,,,2026-03-25 16:16:49.758054,2026-03-25 16:16:49.783262,/n/holylabs/mooney_lab/Lab/junyizhou/speciesOT/speciesOT/baseline/results/speciesot_cd8/speciesot_scgen,0,
gpu/_archive/toggle_cellot_subdirs/toggle_m1_iid/cellot,cellot_celltype,cellot,done,speciesot-human-mouse,stale,,,,,datasets/speciesot-human-mouse/toggle_m1_holdout_swapped_v07.h5ad,cell_type,condition,non_nonclassical_mono,nonclassical_mono,non_nonclassical_mono → nonclassical_mono,,human,True,toggle_ood,cellot,64;64;64;64,50,50000,10,128,0.0001,Adam,./results/toggle_m1_iid/scgen/,generate_toggle_configs.py (deleted; outputs preserved),2026-04-09 01:30:21.132224,2026-04-09 02:02:47.217545,/n/holylabs/mooney_lab/Lab/junyizhou/speciesOT/cellot/cellot_gpu/results/_archive/toggle_cellot_subdirs/toggle_m1_iid/cellot,1,evals_ood_latent_space: R²=0.949 MMD=0.019
gpu/_archive/toggle_cellot_subdirs/toggle_m1_ood/cellot,cellot_celltype,cellot,done,speciesot-human-mouse,stale,,,,,datasets/speciesot-human-mouse/toggle_m1_holdout_swapped_v07.h5ad,cell_type,condition,non_nonclassical_mono,nonclassical_mono,non_nonclassical_mono → nonclassical_mono,,human,False,toggle_ood,cellot,64;64;64;64,50,50000,10,128,0.0001,Adam,./results/toggle_m1_ood/scgen/,generate_toggle_configs.py (deleted; outputs preserved),2026-04-09 01:31:24.153640,2026-04-09 02:03:52.934447,/n/holylabs/mooney_lab/Lab/junyizhou/speciesOT/cellot/cellot_gpu/results/_archive/toggle_cellot_subdirs/toggle_m1_ood/cellot,1,evals_ood_latent_space: R²=0.595 MMD=0.055
gpu/_archive/toggle_cellot_subdirs/toggle_m2_iid/cellot,cellot_celltype,cellot,done,speciesot-human-mouse,stale,,,,,datasets/speciesot-human-mouse/toggle_m2_holdout_swapped_v07.h5ad,cell_type,condition,non_nonclassical_generic_mono,nonclassical_generic_mono,non_nonclassical_generic_mono → nonclassical_generic_mono,,human,True,toggle_ood,cellot,64;64;64;64,50,50000,10,128,0.0001,Adam,./results/toggle_m2_iid/scgen/,generate_toggle_configs.py (deleted; outputs preserved),2026-04-09 01:32:31.813429,2026-04-09 02:04:05.841816,/n/holylabs/mooney_lab/Lab/junyizhou/speciesOT/cellot/cellot_gpu/results/_archive/toggle_cellot_subdirs/toggle_m2_iid/cellot,1,evals_ood_latent_space: R²=0.945 MMD=0.019
gpu/_archive/toggle_cellot_subdirs/toggle_m2_ood/cellot,cellot_celltype,cellot,done,speciesot-human-mouse,stale,,,,,datasets/speciesot-human-mouse/toggle_m2_holdout_swapped_v07.h5ad,cell_type,condition,non_nonclassical_generic_mono,nonclassical_generic_mono,non_nonclassical_generic_mono → nonclassical_generic_mono,,human,False,toggle_ood,cellot,64;64;64;64,50,50000,10,128,0.0001,Adam,./results/toggle_m2_ood/scgen/,generate_toggle_configs.py (deleted; outputs preserved),2026-04-09 01:33:10.256217,2026-04-09 02:09:40.645229,/n/holylabs/mooney_lab/Lab/junyizhou/speciesOT/cellot/cellot_gpu/results/_archive/toggle_cellot_subdirs/toggle_m2_ood/cellot,1,evals_ood_latent_space: R²=0.680 MMD=0.090
gpu/_archive/toggle_cellot_subdirs/toggle_m3_iid/cellot,cellot_celltype,cellot,done,speciesot-human-mouse,stale,,,,,datasets/speciesot-human-mouse/toggle_m3_holdout_swapped_v07.h5ad,cell_type,condition,non_mono_subtype,mono_subtype,non_mono_subtype → mono_subtype,,human,True,toggle_ood,cellot,64;64;64;64,50,50000,10,128,0.0001,Adam,./results/toggle_m3_iid/scgen/,generate_toggle_configs.py (deleted; outputs preserved),2026-04-09 01:52:04.474714,2026-04-09 02:09:42.423767,/n/holylabs/mooney_lab/Lab/junyizhou/speciesOT/cellot/cellot_gpu/results/_archive/toggle_cellot_subdirs/toggle_m3_iid/cellot,1,evals_ood_latent_space: R²=0.972 MMD=0.008
gpu/_archive/toggle_cellot_subdirs/toggle_m3_ood/cellot,cellot_celltype,cellot,done,speciesot-human-mouse,stale,,,,,datasets/speciesot-human-mouse/toggle_m3_holdout_swapped_v07.h5ad,cell_type,condition,non_mono_subtype,mono_subtype,non_mono_subtype → mono_subtype,,human,False,toggle_ood,cellot,64;64;64;64,50,50000,10,128,0.0001,Adam,./results/toggle_m3_ood/scgen/,generate_toggle_configs.py (deleted; outputs preserved),2026-04-09 01:34:06.398663,2026-04-09 02:10:06.314418,/n/holylabs/mooney_lab/Lab/junyizhou/speciesOT/cellot/cellot_gpu/results/_archive/toggle_cellot_subdirs/toggle_m3_ood/cellot,1,evals_ood_latent_space: R²=0.458 MMD=0.097
gpu/_archive/toggle_cellot_subdirs/toggle_m4_iid/cellot,cellot_celltype,cellot,done,speciesot-human-mouse,stale,,,,,datasets/speciesot-human-mouse/toggle_m4_holdout_swapped_v07.h5ad,cell_type,condition,non_classical_mono,classical_mono,non_classical_mono → classical_mono,,human,True,toggle_ood,cellot,64;64;64;64,50,50000,10,128,0.0001,Adam,./results/toggle_m4_iid/scgen/,generate_toggle_configs.py (deleted; outputs preserved),2026-04-09 01:34:19.711589,2026-04-09 02:05:58.418854,/n/holylabs/mooney_lab/Lab/junyizhou/speciesOT/cellot/cellot_gpu/results/_archive/toggle_cellot_subdirs/toggle_m4_iid/cellot,1,evals_ood_latent_space: R²=0.776 MMD=0.058
