symbol,ensmusg
Kdm5d,ENSMUSG00000056673
Eif2s3y,ENSMUSG00000069049
Uty,ENSMUSG00000068457
Ddx3y,ENSMUSG00000069045
Cep120,ENSMUSG00000048799
Csnk1g3,ENSMUSG00000073563
Zfp608,ENSMUSG00000052713
Aldh7a1,ENSMUSG00000053644
Phax,ENSMUSG00000008301
Lmnb1,ENSMUSG00000024590
Klf9,ENSMUSG00000033863
C330018D20Rik,ENSMUSG00000024592
Smc5,ENSMUSG00000024943
B4galt6,ENSMUSG00000056124
Mamdc2,ENSMUSG00000033207
Trappc8,ENSMUSG00000033382
Ptar1,ENSMUSG00000074925
Apba1,ENSMUSG00000024897
Rnf125,ENSMUSG00000033107
Rnf138,ENSMUSG00000024317
Tjp2,ENSMUSG00000024812
Fxn,ENSMUSG00000059363
Pip5k1b,ENSMUSG00000024867
Isoc1,ENSMUSG00000024601
Nrap,ENSMUSG00000049134
Vma21,ENSMUSG00000073131
Trib2,ENSMUSG00000020601
Gm4841,ENSMUSG00000068606
Rlim,ENSMUSG00000056537
Nubpl,ENSMUSG00000035142
Ifitm7,ENSMUSG00000065968
Npc2,ENSMUSG00000021242
Rbm22,ENSMUSG00000024604
Ndufb4,ENSMUSG00000022820
Isca2,ENSMUSG00000021241
Arhgap5,ENSMUSG00000035133
Fstl1,ENSMUSG00000022816
Lrrc58,ENSMUSG00000034158
Gsk3b,ENSMUSG00000022812
Egln3,ENSMUSG00000035105
Casp7,ENSMUSG00000025076
Abcb7,ENSMUSG00000031333
Dock8,ENSMUSG00000052085
Nde1,ENSMUSG00000022678
Uprt,ENSMUSG00000073016
Gabre,ENSMUSG00000031340
Zdhhc15,ENSMUSG00000033906
Mapre2,ENSMUSG00000024277
Magee2,ENSMUSG00000031224
Tiam1,ENSMUSG00000002489
Ppp2r5c,ENSMUSG00000017843
Zfp397,ENSMUSG00000024276
Zfp35,ENSMUSG00000063281
Nhlrc2,ENSMUSG00000025078
Ccdc134,ENSMUSG00000068114
Ino80c,ENSMUSG00000047989
Galnt1,ENSMUSG00000000420
Lrch2,ENSMUSG00000031290
Pacs1,ENSMUSG00000024855
Sod1,ENSMUSG00000022982
2700062C07Rik,ENSMUSG00000024273
Scaf4,ENSMUSG00000022983
Rprd1a,ENSMUSG00000040446
Card6,ENSMUSG00000041849
Rpl37,ENSMUSG00000041841
Prkaa1,ENSMUSG00000050697
Sf3b2,ENSMUSG00000024853
Ppargc1b,ENSMUSG00000033871
Srebf2,ENSMUSG00000022463
Dync1h1,ENSMUSG00000018707
Magee1,ENSMUSG00000031227
Celf4,ENSMUSG00000024268
Mtbp,ENSMUSG00000022369
Atrx,ENSMUSG00000031229
Urb1,ENSMUSG00000039929
Cst6,ENSMUSG00000024846
Fcf1,ENSMUSG00000021243
Hsp90aa1,ENSMUSG00000021270
Lpin1,ENSMUSG00000020593
Sntb1,ENSMUSG00000060429
Pik3c3,ENSMUSG00000033628
Ttc33,ENSMUSG00000022151
Ptger4,ENSMUSG00000039942
Magt1,ENSMUSG00000031232
Banf1,ENSMUSG00000024844
Zhx2,ENSMUSG00000071757
Eif1ad,ENSMUSG00000024841
Derl1,ENSMUSG00000022365
Nsa2,ENSMUSG00000060739
Cox7b,ENSMUSG00000031231
Apex2,ENSMUSG00000025269
Pcyox1l,ENSMUSG00000024579
Sart1,ENSMUSG00000039148
Grpel2,ENSMUSG00000024580
Afap1l1,ENSMUSG00000033032
Tmem65,ENSMUSG00000062373
Trmt12,ENSMUSG00000037085
Drap1,ENSMUSG00000024914
Rnf139,ENSMUSG00000037075
Dab2,ENSMUSG00000022150
Atp7a,ENSMUSG00000033792
Ylpm1,ENSMUSG00000021244
AI837181,ENSMUSG00000047423
Ccdc85b,ENSMUSG00000095098
Synj1,ENSMUSG00000022973
Aoah,ENSMUSG00000021322
Adrb2,ENSMUSG00000045730
Wdr33,ENSMUSG00000024400
Pgk1,ENSMUSG00000062070
Prox2,ENSMUSG00000042320
Taf9b,ENSMUSG00000047242
Gfm2,ENSMUSG00000021666
Zfp839,ENSMUSG00000021271
Srp54b,ENSMUSG00000112449
Rpl39,ENSMUSG00000079641
Sft2d3,ENSMUSG00000044982
Ube2v2,ENSMUSG00000022674
Mcm4,ENSMUSG00000022673
Fibp,ENSMUSG00000024911
Cinp,ENSMUSG00000021276
Upf3b,ENSMUSG00000036572
Ctsw,ENSMUSG00000024910
Pspc1,ENSMUSG00000021938
Nkap,ENSMUSG00000016409
Dlst,ENSMUSG00000004789
Tatdn1,ENSMUSG00000050891
Ctcf,ENSMUSG00000005698
Efemp2,ENSMUSG00000024909
Ndufa1,ENSMUSG00000016427
Rnf113a1,ENSMUSG00000036537
Dach1,ENSMUSG00000055639
Iws1,ENSMUSG00000024384
Zbtb20,ENSMUSG00000022708
Ndufb9,ENSMUSG00000022354
Zmym5,ENSMUSG00000040123
Cysltr1,ENSMUSG00000052821
Pcm1,ENSMUSG00000031592
Mus81,ENSMUSG00000024906
Hexb,ENSMUSG00000021665
Wdhd1,ENSMUSG00000037572
Map3k2,ENSMUSG00000024383
Mtss1,ENSMUSG00000022353
Zfp457,ENSMUSG00000055341
Zfp595,ENSMUSG00000057842
Ercc3,ENSMUSG00000024382
Lpar4,ENSMUSG00000049929
Hivep1,ENSMUSG00000021366
P2ry10,ENSMUSG00000050921
Snx32,ENSMUSG00000056185
Edn1,ENSMUSG00000021367
Ppp2r3c,ENSMUSG00000021022
Prkdc,ENSMUSG00000022672
Srbd1,ENSMUSG00000024135
Tcf20,ENSMUSG00000041852
Gypc,ENSMUSG00000090523
Tslp,ENSMUSG00000024379
Wdr36,ENSMUSG00000038299
Rictor,ENSMUSG00000050310
Socs4,ENSMUSG00000048379
Gpr174,ENSMUSG00000073008
Acd,ENSMUSG00000038000
Zmym2,ENSMUSG00000021945
Rnaseh2c,ENSMUSG00000024925
Zfp942,ENSMUSG00000071267
Zfp943,ENSMUSG00000053347
Tecpr2,ENSMUSG00000021275
Zfp947,ENSMUSG00000063383
Smarca2,ENSMUSG00000024921
Zfp944,ENSMUSG00000033972
Mapk1ip1l,ENSMUSG00000021840
