names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000173482,5.197066,4.147402,2.024585818723565e-07,0.00020245858187235648
ENSG00000116016,5.0380054,4.923131,4.7040868677902937e-07,0.0002352043433895147
ENSG00000100234,4.8140216,5.211603,1.4792272459593665e-06,0.0004930757486531222
ENSG00000125968,4.5445924,4.090264,5.504168170861978e-06,0.0013234721926696704
ENSG00000054654,4.5056386,4.060422,6.617360963348352e-06,0.0013234721926696704
ENSG00000172889,4.323855,4.45029,1.533261124983484e-05,0.0025554352083058066
ENSG00000027075,4.271917,3.1798139,1.9379991104702857e-05,0.0027208928617464116
ENSG00000152583,4.245948,5.0603843,2.1767142893971294e-05,0.0027208928617464116
ENSG00000240583,4.1485634,4.3707814,3.345679704897884e-05,0.0037174218943309824
ENSG00000169744,4.106364,6.607284,4.0193633368937504e-05,0.0040193633368937505
ENSG00000120549,4.0284567,5.9102187,5.6144253187490325e-05,0.005104023017044575
ENSG00000105974,3.9862566,5.0328608,6.712389408955451e-05,0.005133199270339694
ENSG00000169908,3.9797645,5.1925054,6.898359651126138e-05,0.005133199270339694
ENSG00000109686,3.970026,4.572845,7.186478978475572e-05,0.005133199270339694
ENSG00000095637,3.9505491,4.9028144,7.797207513892583e-05,0.005198138342595056
ENSG00000144218,3.898611,4.7063866,9.67460596672014e-05,0.006046628729200087
ENSG00000148516,3.7882423,4.0447745,0.00015171684638641918,0.008924520375671716
ENSG00000184113,3.7655194,4.30588,0.00016620325441453262,0.009233514134140702
ENSG00000183580,3.7460425,6.9787774,0.00017964615483997122,0.009455060781051117
ENSG00000165810,3.707089,5.8553863,0.00020965538525058179,0.010242532414033273
ENSG00000064989,3.7005966,2.8774993,0.00021509318069469876,0.010242532414033273
ENSG00000113594,3.6746275,5.9078574,0.0002381966761584095,0.010827121643564069
ENSG00000131477,3.6356738,5.0477104,0.0002772549376877991,0.012054562508165178
ENSG00000204217,3.5804894,2.6072762,0.00034295110646212284,0.014289629435921785
ENSG00000117020,3.3954597,2.0011787,0.00068513463107024,0.0274053852428096
ENSG00000196628,3.356506,1.8062464,0.000789339978634687,0.03028137638560277
ENSG00000163697,3.3467677,7.2437015,0.0008175971624112748,0.03028137638560277
ENSG00000020577,3.285091,2.6710048,0.0010194943347977955,0.03597374492489204
ENSG00000068001,3.2785988,3.6157598,0.0010432386028218692,0.03597374492489204
ENSG00000127329,3.2299068,5.372855,0.0012383063000416064,0.04077961836150991
ENSG00000149564,3.2006915,4.9032044,0.0013709826001229249,0.04077961836150991
ENSG00000122786,3.2006915,5.021395,0.0013709826001229249,0.04077961836150991
ENSG00000120278,3.1974454,5.1355658,0.001386507024291337,0.04077961836150991
ENSG00000276644,3.1552455,4.4676313,0.0016036309444896815,0.045818026985419466
ENSG00000110799,3.142261,4.767721,0.0016764853641844757,0.04656903789401322
ENSG00000102755,3.1227841,4.4168653,0.0017914908329667045,0.048418671161262285
ENSG00000152894,3.1033072,4.2058682,0.0019137080192048975,0.050360737347497304
ENSG00000184557,3.0838306,2.0379527,0.0020435398933491976,0.05164870522693729
ENSG00000095370,3.0805843,2.4856586,0.0020659482090774916,0.05164870522693729
ENSG00000188559,3.0383847,1.8025111,0.00237850203114003,0.05591286097390993
ENSG00000081803,3.0351384,3.8123622,0.0024042530218781268,0.05591286097390993
ENSG00000177606,3.0351384,1.850473,0.0024042530218781268,0.05591286097390993
ENSG00000150938,2.9832003,4.0254126,0.002852513045717314,0.0633891787937181
ENSG00000134352,2.908539,2.0400662,0.003631217888418514,0.07893951931344596
ENSG00000176435,2.8890622,6.2148657,0.003863925675800143,0.0805301147658321
ENSG00000099250,2.8760777,2.7235582,0.0040265057382916055,0.0805301147658321
ENSG00000163638,2.8760777,5.789028,0.0040265057382916055,0.0805301147658321
ENSG00000156049,2.8760777,6.648978,0.0040265057382916055,0.0805301147658321
ENSG00000150907,2.8695855,1.8216724,0.004110102854184154,0.08059025204282655
ENSG00000135048,2.8533547,1.8197166,0.004326029984241905,0.08319288431234434
ENSG00000164035,2.7916782,5.171216,0.005243548632565647,0.0989348798597292
ENSG00000131634,2.7722013,4.602456,0.005567859131968939,0.09942605592801676
ENSG00000182809,2.674817,3.991891,0.00747700091697232,0.12672882910122577
ENSG00000114423,2.6553404,1.8514911,0.007922842276588148,0.13204737127646912
ENSG00000198959,2.648848,3.7012439,0.008076662661999318,0.13240430593441505
ENSG00000117318,2.5904176,3.460897,0.009585956251204984,0.15215803573341244
ENSG00000117519,2.551464,3.4089782,0.01072714150597244,0.16503294624572984
ENSG00000186260,2.5190027,2.1399405,0.01176877890601345,0.1783148319092947
ENSG00000134138,2.5027719,7.07979,0.012322492985740285,0.18121313214323947
ENSG00000136237,2.4832952,6.4253225,0.013017320478593554,0.18596172112276504
ENSG00000100154,2.460572,3.0784533,0.01387156880409921,0.19266067783471127
ENSG00000090975,2.434603,5.3585577,0.014908135230284105,0.20236943637670024
ENSG00000166292,2.41188,4.650808,0.015870501278104344,0.2079525997694614
ENSG00000170989,2.389157,4.8601418,0.016887079503115486,0.21376050003943653
ENSG00000109762,2.3696802,2.6174126,0.01780347332864238,0.22254341660802976
ENSG00000187720,2.3566957,4.239409,0.018438347937765526,0.2248579016800674
ENSG00000151276,2.3274806,4.673623,0.019939706129193758,0.23458477799051478
ENSG00000075391,2.3112497,2.2841983,0.02081906083589989,0.242082102743022
ENSG00000147862,2.3047576,2.5777743,0.02118015690016239,0.2434500793122114
ENSG00000139567,2.2982652,4.159455,0.021546696694734763,0.2448488260765314
ENSG00000065054,2.2463272,2.5983915,0.02468306671148714,0.2742562967943016
ENSG00000144642,2.2463272,3.6238704,0.02468306671148714,0.2742562967943016
ENSG00000184005,2.2171118,1.3130465,0.02661545122093414,0.28929838283624065
ENSG00000179776,2.2106194,3.5397358,0.02706219405453887,0.29099133391977283
ENSG00000157985,2.148943,3.0879867,0.031638923690041836,0.33304130200044035
ENSG00000168685,2.1392045,3.1674366,0.03241910796001608,0.33769904125016753
ENSG00000106991,2.1099894,2.103701,0.034859278581579216,0.3557069243018287
ENSG00000134531,2.0872664,3.5041883,0.0368640669074871,0.3649907614602683
ENSG00000148180,2.0645432,1.2373706,0.03896622675273159,0.37764127481383025
ENSG00000111885,2.0612972,0.9519782,0.03927469258063834,0.37764127481383025
ENSG00000174059,2.0385742,5.4426274,0.041492535776403536,0.3873349384809854
ENSG00000261371,2.0353281,0.86518157,0.041817867713531805,0.3873349384809854
ENSG00000170571,2.0255897,1.5984784,0.04280684624460926,0.3873349384809854
ENSG00000047617,2.0190973,5.177283,0.043477092737491715,0.3873349384809854
ENSG00000179348,2.0190973,4.728084,0.043477092737491715,0.3873349384809854
ENSG00000131016,2.0126052,5.447726,0.04415618298683233,0.3873349384809854
ENSG00000176390,1.9639131,1.2780361,0.04954016967262477,0.4145652227733394
ENSG00000169946,1.960667,4.43698,0.049917884644565556,0.4145652227733394
ENSG00000164741,1.9476824,2.7061143,0.05145297497886744,0.4145652227733394
ENSG00000203883,1.9476824,4.0621047,0.05145297497886744,0.4145652227733394
ENSG00000131370,1.9411901,1.071363,0.052235218069440766,0.4145652227733394
ENSG00000156675,1.9411901,1.3031129,0.052235218069440766,0.4145652227733394
ENSG00000134871,1.9346979,4.1438255,0.05302738191427489,0.41740010046486903
ENSG00000134954,1.9314517,2.466638,0.053427212859503234,0.41740010046486903
ENSG00000141753,1.9022365,3.5431383,0.0571402435205567,0.43954033477351306
ENSG00000109099,1.8924981,2.2280343,0.0584246486532877,0.44589452334821733
ENSG00000127528,1.889252,1.119186,0.058858077081964694,0.44589452334821733
ENSG00000120738,1.8762674,1.3678957,0.060618571484784375,0.4523773991401819
ENSG00000185420,1.866529,1.2274363,0.06196739266953131,0.4590177234780097
ENSG00000197747,1.843806,0.7821995,0.06521141453074535,0.4759957265017908
ENSG00000158321,1.8243293,2.0099158,0.0681023185498006,0.4899447377683496
ENSG00000162734,1.8145908,2.052433,0.06958681929669254,0.49352354111129465
ENSG00000149131,1.8113446,2.0770147,0.0700875181065479,0.49357407117287255
ENSG00000235750,1.7983601,3.347285,0.07211996128428444,0.5008330644741975
ENSG00000138767,1.7853756,1.1202338,0.07420042159575978,0.5047647727602707
ENSG00000169504,1.7853756,1.265063,0.07420042159575978,0.5047647727602707
ENSG00000166233,1.7756371,0.7260273,0.07579274446744834,0.5086761373654252
ENSG00000150687,1.7594064,1.9277608,0.07850849678677109,0.519923819779941
ENSG00000111341,1.7464219,2.8925328,0.08073766674180569,0.5311688601434584
ENSG00000135218,1.7204528,1.3462592,0.0853501656758341,0.5471164466399622
ENSG00000168878,1.7204528,0.99396294,0.0853501656758341,0.5471164466399622
ENSG00000099204,1.7139605,2.8967679,0.08653597518253524,0.5511845553027722
ENSG00000105223,1.700976,0.9696176,0.08894749777945664,0.5629588467054217
ENSG00000126785,1.6879914,28.350807,0.09141287401624203,0.5677818261878387
ENSG00000178726,1.6814991,1.9272279,0.0926660003455357,0.5720123478119488
ENSG00000171132,1.6555301,0.7433547,0.09781702473822257,0.5892591851700154
ENSG00000105538,1.6392994,5.6288037,0.10115092724214886,0.6056941751026877
ENSG00000085276,1.6360532,2.6113412,0.10182844693413955,0.6061217079413068
ENSG00000101445,1.629561,2.0894628,0.10319432164311058,0.6106172878290567
ENSG00000187498,1.6165764,5.6063213,0.10596974778906301,0.6171235080937938
ENSG00000108932,1.6100842,1.4045506,0.10737949040832012,0.6171235080937938
ENSG00000133121,1.5970995,1.0620589,0.11024351091748133,0.6228446944490471
ENSG00000151623,1.5970995,2.1883106,0.11024351091748133,0.6228446944490471
ENSG00000118007,1.5873612,0.8891024,0.11243086799437726,0.6306807283058095
ENSG00000143995,1.5808688,4.0667834,0.1139080172389588,0.6306807283058095
ENSG00000133687,1.5776228,1.9633327,0.11465230048960905,0.6306807283058095
ENSG00000134109,1.5678843,1.4592034,0.1169081252986683,0.6306807283058095
ENSG00000108622,1.5646383,1.2389662,0.11766776417223943,0.6306807283058095
ENSG00000102531,1.5613921,0.9139955,0.1184312710860985,0.6306807283058095
ENSG00000150048,1.5613921,4.1765037,0.1184312710860985,0.6306807283058095
ENSG00000135363,1.5581459,1.0855674,0.11919865764979799,0.6306807283058095
ENSG00000116824,1.5256846,4.371061,0.12708844107519063,0.6619189639332845
ENSG00000130203,1.4964694,0.66178524,0.13453139560398622,0.6837311828695835
ENSG00000156639,1.4607618,0.685158,0.14408081849041796,0.7062785220118528
ENSG00000112699,1.4477773,1.2232312,0.1476793529925513,0.7065997750839775
ENSG00000124107,1.4477773,0.62143254,0.1476793529925513,0.7065997750839775
ENSG00000181722,1.4477773,0.673953,0.1476793529925513,0.7065997750839775
ENSG00000150672,1.4347928,3.4842484,0.15134617427519456,0.7070711213162124
ENSG00000163453,1.4347928,1.3385229,0.15134617427519456,0.7070711213162124
ENSG00000186153,1.4347928,0.90035737,0.15134617427519456,0.7070711213162124
ENSG00000277494,1.4283005,3.3202028,0.153205400986193,0.7070711213162124
ENSG00000125810,1.4153159,1.043415,0.1569758976752166,0.7167849208914
