model,ncells,model_mmd,mmd_floor,gap_above_floor,ratio,2/n (theory floor)
M2 IMPACT,30,0.1449,0.0637,0.0812,2.274,0.0667
M2 IMPACT,50,0.122,0.0381,0.0839,3.1999,0.04
M2 IMPACT,80,0.1063,0.024,0.0823,4.4271,0.025
M2 scGen,30,0.1822,0.0637,0.1185,2.8593,0.0667
M2 scGen,50,0.1581,0.0381,0.12,4.1475,0.04
M2 scGen,80,0.1439,0.024,0.1199,5.994,0.025
M1 scGen,30,0.2012,0.0635,0.1378,3.1704,0.0667
M1 scGen,50,0.1829,0.0382,0.1447,4.7905,0.04
M1 scGen,80,0.169,0.0238,0.1452,7.0946,0.025
M1 IMPACT,30,0.1718,0.0635,0.1083,2.706,0.0667
M1 IMPACT,50,0.1522,0.0382,0.114,3.9874,0.04
M1 IMPACT,80,0.1373,0.0238,0.1135,5.7631,0.025
