names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000120738,4.9313316,2.7655149,8.167104122205364e-07,2.1492379268961486e-05
ENSG00000260314,3.804588,2.3850265,0.0001420403960210024,0.002680007472094385
ENSG00000123358,3.4029927,1.6358305,0.000666520805804399,0.010579695330228555
ENSG00000177606,3.3899856,1.8725015,0.0006989632503983417,0.01092130078747409
ENSG00000105835,3.1802454,1.0143712,0.001471503947399014,0.019620052631986854
ENSG00000100906,3.0534258,1.7531879,0.0022624468490769884,0.02755528080495163
ENSG00000232629,2.8615706,4.549603,0.004215477655151425,0.046323930276389286
ENSG00000120694,2.760765,2.1666927,0.005766612610487154,0.05884298582129749
ENSG00000106991,2.5770392,1.5849807,0.009965061325085792,0.08818638340783887
ENSG00000104870,2.429083,0.9794401,0.015137061464537522,0.12306554036209368
ENSG00000095303,2.3347814,2.8936028,0.01955484500505387,0.14992356261758916
ENSG00000109099,2.0567539,2.386672,0.03970991590938338,0.2513285817049581
ENSG00000149131,2.038869,1.5003108,0.04146310690423621,0.2591444181514763
ENSG00000101335,1.9364377,2.7304306,0.052814109709909705,0.307058777383196
ENSG00000099250,1.9250565,1.436875,0.0542222896774815,0.3116223544682845
ENSG00000090104,1.7868557,2.0457487,0.07396082099165432,0.40559593365999996
ENSG00000171552,1.6860503,0.97691166,0.09178610504285707,0.46989627846728393
ENSG00000127329,1.6632879,0.96582204,0.09625483141646073,0.4812741570823036
ENSG00000135046,1.6405253,0.8378116,0.100895982355482,0.49702454362306403
ENSG00000198467,1.585245,5.4205003,0.11291067768785498,0.5368740320894101
ENSG00000117318,1.4893174,2.2572618,0.13640381763976075,0.6144316109899133
ENSG00000211445,1.479562,2.4266796,0.1389901714326067,0.6232743113569806
ENSG00000019582,1.4698067,1.2607095,0.14161412616195274,0.6266111777077554
ENSG00000139679,1.4600513,0.36265543,0.14427597514780613,0.6327893646833602
ENSG00000160179,1.4600513,1.9306784,0.14427597514780613,0.6327893646833602
ENSG00000182179,1.4502959,1.9047607,0.14697600868196434,0.6390261247041927
ENSG00000066294,1.4437923,0.7719674,0.148797386605531,0.6441445307598744
ENSG00000109686,1.3982674,1.4458195,0.16203278559918854,0.6735997221128062
ENSG00000125968,1.3982674,1.5497985,0.16203278559918854,0.6735997221128062
ENSG00000178726,1.3657496,0.78119254,0.17201758709504944,0.7049901110452846
ENSG00000106415,1.3527424,1.7814633,0.1761379371867865,0.7160078747430345
ENSG00000054654,1.3267281,1.0556138,0.18459863174508784,0.7383945269803514
ENSG00000162772,1.284455,1.4742006,0.19898282336122763,0.7682734492711492
ENSG00000176771,1.268196,1.5712364,0.2047279623281517,0.7874152397236605
ENSG00000134352,1.2096639,0.44643512,0.22640789348773283,0.8479696385308345
ENSG00000159189,1.2096639,0.61987907,0.22640789348773283,0.8479696385308345
ENSG00000068001,1.2064121,1.9662887,0.2276586329157252,0.8494725108795715
ENSG00000143153,1.1999085,0.7291742,0.2301748665879314,0.8556686490257672
ENSG00000196189,1.1852756,1.2608063,0.23590853718549465,0.8737353229092394
ENSG00000173068,1.14788,1.2943453,0.2510181154219011,0.9062025827505454
ENSG00000011465,1.1446282,21.531736,0.2523632089353125,0.9077813271054406
ENSG00000160145,1.1348728,2.3690488,0.2564286021417247,0.9125573029954615
ENSG00000139567,1.1234916,2.342653,0.26122876971117137,0.9230698576366481
ENSG00000148180,1.118614,0.49119112,0.26330488466523183,0.9271298755818023
ENSG00000141338,1.0909737,4.6726904,0.27528443541745284,0.9659102997103609
ENSG00000095637,1.0340675,1.4107891,0.3011046019137831,1.0
ENSG00000144218,1.011305,1.2436067,0.3118704633521844,1.0
ENSG00000164035,0.99829787,2.1109207,0.31813493381202307,1.0
ENSG00000151150,0.98691666,1.2557523,0.32368350757054387,1.0
ENSG00000081803,0.98529077,1.0829375,0.32448127767202684,1.0
ENSG00000160789,0.9739095,0.6247107,0.3301014771813586,1.0
ENSG00000106366,0.9690318,2.5954607,0.33252931249394724,1.0
ENSG00000136237,0.93976575,2.3997128,0.347337725743343,1.0
ENSG00000188042,0.9316363,0.64699215,0.3515245176797185,1.0
ENSG00000173786,0.9300104,1.8828799,0.3523656968142246,1.0
ENSG00000105223,0.9072479,0.5628833,0.36427571158593464,1.0
ENSG00000132386,0.9007443,1.6835217,0.3677242654374705,1.0
ENSG00000169508,0.8958667,0.8661202,0.3703239786541952,1.0
ENSG00000165072,0.8958667,2.4524424,0.3703239786541952,1.0
ENSG00000184113,0.8893631,1.870325,0.3738079706786843,1.0
ENSG00000159388,0.8828595,0.7440394,0.3773121725529467,1.0
ENSG00000120549,0.8519676,1.119608,0.39423208923532105,1.0
ENSG00000123329,0.8422122,1.4056458,0.3996691745691181,1.0
ENSG00000158813,0.8324569,0.59803116,0.40515111508038726,1.0
ENSG00000173372,0.81294614,0.30955032,0.41624892812039926,1.0
ENSG00000127528,0.81294614,0.29066995,0.41624892812039926,1.0
ENSG00000064225,0.81294614,0.6531377,0.41624892812039926,1.0
ENSG00000163638,0.79831314,1.8824096,0.42468880158315914,1.0
ENSG00000168421,0.79018366,0.67045337,0.429420513519829,1.0
ENSG00000123342,0.7836801,1.2128159,0.43322784379324597,1.0
ENSG00000109762,0.7722989,1.1832664,0.4399374458202244,1.0
ENSG00000136059,0.7674212,3.7824733,0.4428311433214063,1.0
ENSG00000196569,0.7641694,3.9937751,0.44476630566738706,1.0
ENSG00000169252,0.7641694,2.3954527,0.44476630566738706,1.0
ENSG00000198108,0.7609176,3.2623432,0.44670628270123736,1.0
ENSG00000117632,0.7576658,1.6324264,0.44865106583748204,1.0
ENSG00000187391,0.754414,2.439623,0.45060064636761044,1.0
ENSG00000123094,0.73002565,1.8273163,0.46537450564536853,1.0
ENSG00000165810,0.71051496,1.6365317,0.4773848678961131,1.0
ENSG00000004799,0.7040114,0.31898445,0.48142569065284957,1.0
ENSG00000100234,0.7040114,1.0585557,0.48142569065284957,1.0
ENSG00000106404,0.7023855,1.7587034,0.48243879716115123,1.0
ENSG00000196628,0.68612653,0.33941334,0.49263330479409484,1.0
ENSG00000184557,0.679623,0.49380583,0.49674320962821794,1.0
ENSG00000276644,0.66661584,1.4606799,0.5050175420247645,1.0
ENSG00000152495,0.65035695,1.554874,0.5154616931765772,1.0
ENSG00000133800,0.65035695,1.3199029,0.5154616931765772,1.0
ENSG00000090339,0.64710516,0.92970383,0.517563897303819,1.0
ENSG00000170989,0.6422275,1.8613816,0.5207255023309756,1.0
ENSG00000204217,0.6227168,0.4399758,0.5334706685355899,1.0
ENSG00000087245,0.6080837,1.5174385,0.5431319445904979,1.0
ENSG00000196843,0.60320604,1.0398897,0.5463716235120979,1.0
ENSG00000133121,0.60158014,0.61460286,0.5474536402342591,1.0
ENSG00000169504,0.59670246,0.42898896,0.5507060361322752,1.0
ENSG00000103522,0.59507656,0.7048202,0.5517922772183089,1.0
ENSG00000020577,0.59507656,0.6253661,0.5517922772183089,1.0
ENSG00000141753,0.5934507,1.1323863,0.5528795697840289,1.0
ENSG00000166833,0.57881767,2.473846,0.5627122102670536,1.0
ENSG00000131477,0.57881767,1.3578806,0.5627122102670536,1.0
ENSG00000156113,0.57881767,0.49763343,0.5627122102670536,1.0
ENSG00000204385,0.5723141,25.318184,0.5671092018338826,1.0
ENSG00000049759,0.5690623,1.0696542,0.5693138541169163,1.0
ENSG00000173369,0.5674364,0.12397594,0.5704177125249443,1.0
ENSG00000132376,0.56255877,0.7879964,0.5737353930837615,1.0
ENSG00000163359,0.5560552,-0.72269136,0.5781731384402857,1.0
ENSG00000182809,0.5495516,0.9454005,0.582626961204171,1.0
ENSG00000117020,0.5462998,0.36025327,0.5848598608063054,1.0
ENSG00000111110,0.53979623,0.60009086,0.5893375538395432,1.0
ENSG00000291237,0.53654444,0.14726835,0.5915823138860405,1.0
ENSG00000118503,0.53329265,0.3921476,0.593830993841242,1.0
ENSG00000153823,0.53329265,0.31895447,0.593830993841242,1.0
ENSG00000271503,0.5300409,0.9111377,0.5960835767311334,1.0
ENSG00000172889,0.5300409,1.0298846,0.5960835767311334,1.0
ENSG00000116833,0.52191144,3.384642,0.601731996892825,1.0
ENSG00000116774,0.52191144,3.7105556,0.601731996892825,1.0
ENSG00000127533,0.52191144,3.1768909,0.601731996892825,1.0
ENSG00000170624,0.52191144,2.9287095,0.601731996892825,1.0
ENSG00000047617,0.52028555,1.7810789,0.6028645715898107,1.0
ENSG00000235750,0.51215607,1.1527665,0.6085417784443985,1.0
ENSG00000038945,0.5105302,0.09735905,0.6096800710774006,1.0
ENSG00000153283,0.5040266,1.1087898,0.6142426717969727,1.0
ENSG00000112118,0.50077486,0.68520546,0.6165295988939679,1.0
ENSG00000076554,0.49427128,2.5419388,0.6211146161706989,1.0
ENSG00000151276,0.4861418,0.7743547,0.6268666300228114,1.0
ENSG00000085276,0.4812641,1.2141029,0.6303287900562056,1.0
ENSG00000137501,0.47638646,0.49966866,0.6337990868708897,1.0
ENSG00000105974,0.47150877,1.0508037,0.6372774568326893,1.0
ENSG00000178301,0.47150877,2.4025142,0.6372774568326893,1.0
ENSG00000185008,0.47150877,1.7540755,0.6372774568326893,1.0
ENSG00000112541,0.47150877,0.19989201,0.6372774568326893,1.0
ENSG00000178562,0.47150877,2.808008,0.6372774568326893,1.0
ENSG00000163430,0.46825698,1.4566976,0.6396008235567961,1.0
ENSG00000102755,0.46825698,0.8462331,0.6396008235567961,1.0
ENSG00000132481,0.4650052,-1.6934308,0.6419277306953907,1.0
ENSG00000102575,0.45199805,0.5402515,0.6512703768964672,1.0
ENSG00000069667,0.45199805,-0.39289063,0.6512703768964672,1.0
ENSG00000173801,0.45199805,1.0894122,0.6512703768964672,1.0
ENSG00000114737,0.4487463,0.8429664,0.6536146953317814,1.0
ENSG00000125810,0.4422427,0.2925563,0.6583135824956015,1.0
ENSG00000149564,0.43573913,1.6305021,0.6630260037985245,1.0
ENSG00000112320,0.43086147,2.9047353,0.6665691048197069,1.0
ENSG00000157985,0.43086147,1.0541624,0.6665691048197069,1.0
ENSG00000185905,0.4259838,1.3891039,0.670119659847905,1.0
