group,group_label,family,mode,model,l2_means,l2_stds,r2_means,r2_stds,r2_pairwise_feat_corrs,l2_pairwise_feat_corrs,mmd,enrichment_k50,enrichment_k100
t1,CD8,T cell,ood,IMPACT,0.845635,0.817535,0.840707,0.71419,0.347241,8.17411,0.02211,0.470275,0.451076
t1,CD8,T cell,ood,CellOT,1.157396,0.874374,0.711794,0.62395,0.241755,10.377738,0.03225,0.73142,0.611667
t1,CD8,T cell,iid,IMPACT,0.795046,0.604472,0.866992,0.490429,0.355016,8.109137,0.021868,0.557025,0.514557
t1,CD8,T cell,iid,CellOT,0.654725,0.461089,0.90944,0.672882,0.516926,6.515325,0.01587,0.51398,0.506646
t2,CD8 + thymocyte,T cell,ood,IMPACT,1.182791,1.035007,0.828993,0.485441,0.513401,7.486084,0.020226,0.556224,0.483484
t2,CD8 + thymocyte,T cell,ood,CellOT,2.553469,2.228898,0.680587,0.240979,0.391612,9.717698,0.052007,0.60236,0.515512
t2,CD8 + thymocyte,T cell,iid,IMPACT,1.179017,0.752735,0.843492,0.519661,0.508517,6.843484,0.018274,0.610712,0.55252
t2,CD8 + thymocyte,T cell,iid,CellOT,0.986342,1.2217,0.916694,0.526407,0.523644,7.07123,0.012288,0.527824,0.490932
t3,All T cell subtypes,T cell,ood,IMPACT,1.353339,1.031045,0.796625,0.77855,0.464352,7.211934,0.023287,0.58888,0.525176
t3,All T cell subtypes,T cell,ood,CellOT,2.099478,1.731454,0.727706,0.732651,0.415324,8.503144,0.040693,0.55656,0.474708
t3,All T cell subtypes,T cell,iid,IMPACT,0.965023,0.795488,0.871593,0.412361,0.424092,6.897806,0.014596,0.57296,0.51796
t3,All T cell subtypes,T cell,iid,CellOT,1.013356,1.537064,0.883339,0.266042,0.32872,9.3959,0.013035,0.535008,0.491668
t4,CD4,T cell,ood,IMPACT,1.101843,0.90026,0.772107,0.645699,0.220117,10.71941,0.049496,0.437126,0.437126
t4,CD4,T cell,ood,CellOT,1.799357,1.107429,0.413785,0.39427,0.06186,15.14315,0.079624,0.628966,0.628966
t4,CD4,T cell,iid,IMPACT,1.126356,0.814493,0.758897,0.241045,0.225598,10.790649,0.048978,0.45954,0.45954
t4,CD4,T cell,iid,CellOT,0.880267,0.813669,0.795439,0.11119,0.163819,12.598019,0.045297,0.536322,0.536322
m1,Non-classical monocyte,Monocyte,ood,IMPACT,1.200333,0.644675,0.731005,0.858147,0.380281,8.029392,0.035698,0.66412,0.58702
m1,Non-classical monocyte,Monocyte,ood,CellOT,1.424994,1.415301,0.594597,0.803826,0.264667,8.697595,0.055014,0.83692,0.775848
m1,Non-classical monocyte,Monocyte,iid,IMPACT,1.088181,0.652787,0.789612,0.895808,0.454485,7.186683,0.031727,0.63762,0.57903
