group,group_label,family,model,r2_means_ood,r2_stds_ood,mmd_ood,r2_means_iid,r2_stds_iid,mmd_iid,r2_means_delta,r2_stds_delta,mmd_delta
t1,CD8,T cell,IMPACT,0.840707,0.71419,0.02211,0.866992,0.490429,0.021868,0.026285,-0.223761,-0.000242
t1,CD8,T cell,CellOT,0.711794,0.62395,0.03225,0.90944,0.672882,0.01587,0.197646,0.048932,-0.016379
t2,CD8 + thymocyte,T cell,IMPACT,0.828993,0.485441,0.020226,0.843492,0.519661,0.018274,0.014499,0.03422,-0.001953
t2,CD8 + thymocyte,T cell,CellOT,0.680587,0.240979,0.052007,0.916694,0.526407,0.012288,0.236106,0.285428,-0.03972
t3,All T cell subtypes,T cell,IMPACT,0.796625,0.77855,0.023287,0.871593,0.412361,0.014596,0.074968,-0.366189,-0.008691
t3,All T cell subtypes,T cell,CellOT,0.727706,0.732651,0.040693,0.883339,0.266042,0.013035,0.155633,-0.466609,-0.027658
t4,CD4,T cell,IMPACT,0.772107,0.645699,0.049496,0.758897,0.241045,0.048978,-0.01321,-0.404654,-0.000518
t4,CD4,T cell,CellOT,0.413785,0.39427,0.079624,0.795439,0.11119,0.045297,0.381654,-0.28308,-0.034327
m1,Non-classical monocyte,Monocyte,IMPACT,0.731005,0.858147,0.035698,0.789612,0.895808,0.031727,0.058607,0.037661,-0.00397
m1,Non-classical monocyte,Monocyte,CellOT,0.594597,0.803826,0.055014,0.949088,0.919699,0.019202,0.354491,0.115873,-0.035811
m2,Non-classical + generic,Monocyte,IMPACT,0.751238,0.84573,0.031043,0.821002,0.872546,0.027409,0.069764,0.026816,-0.003634
m2,Non-classical + generic,Monocyte,CellOT,0.679793,0.57596,0.09006,0.944459,0.898178,0.019225,0.264666,0.322218,-0.070836
m3,All monocyte subtypes,Monocyte,IMPACT,0.640631,0.912055,0.031707,0.823603,0.83525,0.024258,0.182971,-0.076805,-0.007449
m3,All monocyte subtypes,Monocyte,CellOT,0.458083,0.886014,0.09705,0.971502,0.898641,0.007741,0.513419,0.012626,-0.089309
m4,Classical monocyte,Monocyte,IMPACT,0.713876,0.415869,0.050631,0.678625,0.555473,0.056322,-0.035251,0.139604,0.00569
m4,Classical monocyte,Monocyte,CellOT,0.493506,0.27626,0.110911,0.774933,0.492144,0.057889,0.281427,0.215883,-0.053022
t1,CD8,T cell,scGen,0.644644,0.787549,0.087178,0.710335,0.424454,0.088268,0.065691,-0.363096,0.001089
t2,CD8 + thymocyte,T cell,scGen,0.587175,0.5205,0.125414,0.669222,0.533294,0.124694,0.082047,0.012794,-0.00072
t3,All T cell subtypes,T cell,scGen,0.582225,0.721422,0.125574,0.562486,0.555599,0.113434,-0.01974,-0.165823,-0.012141
t4,CD4,T cell,scGen,0.335961,0.561553,0.132443,0.39101,0.083184,0.154085,0.055048,-0.478369,0.021642
m1,Non-classical monocyte,Monocyte,scGen,0.427263,0.819427,0.088925,0.444608,0.856047,0.080721,0.017344,0.03662,-0.008204
m2,Non-classical + generic,Monocyte,scGen,0.439477,0.884174,0.091578,0.468073,0.820025,0.074897,0.028596,-0.064149,-0.016682
m3,All monocyte subtypes,Monocyte,scGen,0.351794,0.901636,0.092512,0.640224,0.785282,0.082288,0.28843,-0.116354,-0.010223
m4,Classical monocyte,Monocyte,scGen,0.410442,0.380745,0.116933,0.451603,0.471794,0.113478,0.04116,0.09105,-0.003455
