model,R2,MMD,mmd_floor,mmd_ceiling,gap_above_floor,frac_gap_closed,mean_js,status
m1 v07 IMPACT,0.9407,0.1375,0.0238,0.0902,0.1134,-0.7072,0.4653,ok
m1 v07 scGen,0.9094,0.1677,0.0238,0.0902,0.143,-1.1524,0.4901,ok
m1 v08 IMPACT,0.9188,0.1035,0.0236,0.1087,0.08,0.0608,0.4492,ok
m1 v08 scGen,0.927,0.1737,0.0236,0.1087,0.1497,-0.7588,0.5023,ok
m2 v07 IMPACT,0.9301,0.108,0.0237,0.0867,0.084,-0.3328,0.4507,ok
m2 v07 scGen,0.8916,0.1458,0.0237,0.0867,0.1224,-0.9429,0.4736,ok
m2 v08 IMPACT,0.9231,0.1146,0.0233,0.1062,0.0935,-0.1276,0.4515,ok
m2 v08 scGen,0.9443,0.161,0.0233,0.1062,0.1389,-0.6747,0.485,ok
atlas-CD8 v07 IMPACT,0.8479,0.0513,,,,,,ok
atlas-CD8 v07 scGen,0.9321,0.1163,,,,,,ok
atlas-CD8 v08 IMPACT,,,,,,,,pending (no evals.csv)
atlas-CD8 v08 scGen,,,,,,,,pending (no evals.csv)
