model,R2,MMD,frac_gap_closed_raw,frac_gap_closed_decoded,frac_r2_closed_raw,frac_r2_closed_decoded,mmd_floor,mmd_ae_recon_floor,mmd_ceiling,mmd_decoded_ceiling,r2_self,r2_self_dec,r2_identity,r2_identity_dec,gap_above_floor,gap_above_ae_recon,mean_js,status,dec_status
m1 v07 IMPACT,0.9407,0.1375,-0.7072,0.6569,0.9216,0.8914,0.0238,0.0733,0.0902,0.2596,0.9871,0.9965,0.4343,0.4735,0.1134,0.0639,0.4653,ok,ok
m1 v07 scGen,0.9094,0.1677,-1.1524,0.4981,0.8702,0.8409,0.0238,0.0733,0.0902,0.2596,0.9871,0.9965,0.4343,0.4735,0.143,0.0935,0.4901,ok,ok
m1 v08 IMPACT,0.9188,0.1035,0.0608,0.8974,0.8316,0.821,0.0236,0.0805,0.1087,0.3057,0.9917,0.9976,0.5542,0.5779,0.08,0.0231,0.4492,ok,ok
m1 v08 scGen,0.927,0.1737,-0.7588,0.5875,0.8571,0.8567,0.0236,0.0805,0.1087,0.3057,0.9917,0.9976,0.5542,0.5779,0.1497,0.0929,0.5023,ok,ok
m2 v07 IMPACT,0.9301,0.108,-0.3328,0.7783,0.9041,0.8972,0.0237,0.0679,0.0867,0.2473,0.9889,0.9973,0.457,0.4831,0.084,0.0398,0.4507,ok,ok
m2 v07 scGen,0.8916,0.1458,-0.9429,0.564,0.8263,0.8177,0.0237,0.0679,0.0867,0.2473,0.9889,0.9973,0.457,0.4831,0.1224,0.0782,0.4736,ok,ok
m2 v08 IMPACT,0.9231,0.1146,-0.1276,0.7758,0.8539,0.8606,0.0233,0.0662,0.1062,0.2916,0.9924,0.9977,0.559,0.576,0.0935,0.0505,0.4515,ok,ok
m2 v08 scGen,0.9443,0.161,-0.6747,0.5745,0.8989,0.906,0.0233,0.0662,0.1062,0.2916,0.9924,0.9977,0.559,0.576,0.1389,0.0959,0.485,ok,ok
atlas-CD8 v07 IMPACT,0.8479,0.0513,,,,,,,,,,,,,,,,ok,failed (1)
atlas-CD8 v07 scGen,0.9321,0.1163,,0.9114,,0.904,,0.1139,,0.1781,,0.9994,,0.5568,,0.0057,,ok,ok
atlas-CD8 v08 IMPACT,0.921,0.141,,0.935,,0.8459,,0.1307,,0.2763,,0.9996,,0.7243,,0.0095,,ok,ok
atlas-CD8 v08 scGen,0.9239,0.1904,,0.5956,,0.8526,,0.1307,,0.2763,,0.9996,,0.7243,,0.0589,,ok,ok
