model,R2,MMD,mmd_floor,mmd_ceiling,gap_above_floor,frac_gap_closed_raw,mean_js,r2_self,r2_identity,frac_r2_closed_raw,status
m1 v07 IMPACT,0.9407,0.1375,0.0238,0.0902,0.1134,-0.7072,0.4653,0.9871,0.4343,0.9216,ok
m1 v07 scGen,0.9094,0.1677,0.0238,0.0902,0.143,-1.1524,0.4901,0.9871,0.4343,0.8702,ok
m1 v08 IMPACT,0.9188,0.1035,0.0236,0.1087,0.08,0.0608,0.4492,0.9917,0.5542,0.8316,ok
m1 v08 scGen,0.927,0.1737,0.0236,0.1087,0.1497,-0.7588,0.5023,0.9917,0.5542,0.8571,ok
m2 v07 IMPACT,0.9301,0.108,0.0237,0.0867,0.084,-0.3328,0.4507,0.9889,0.457,0.9041,ok
m2 v07 scGen,0.8916,0.1458,0.0237,0.0867,0.1224,-0.9429,0.4736,0.9889,0.457,0.8263,ok
m2 v08 IMPACT,0.9231,0.1146,0.0233,0.1062,0.0935,-0.1276,0.4515,0.9924,0.559,0.8539,ok
m2 v08 scGen,0.9443,0.161,0.0233,0.1062,0.1389,-0.6747,0.485,0.9924,0.559,0.8989,ok
atlas-CD8 v07 IMPACT,0.8479,0.0513,,,,,,,,,ok
atlas-CD8 v07 scGen,0.9321,0.1163,,,,,,,,,ok
atlas-CD8 v08 IMPACT,0.921,0.141,,,,,,,,,ok
atlas-CD8 v08 scGen,0.9239,0.1904,,,,,,,,,ok
