ncells,nfeatures,metric,value
100,all,l2-means,0.7668552398681641
100,all,l2-stds,2.734346628189087
100,all,r2-means,0.8049398749658129
100,all,r2-stds,0.5167545980199042
100,all,r2-pairwise_feat_corrs,0.018406616622928213
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,0.7814885973930359
100,all,l2-stds,2.8002891540527344
100,all,r2-means,0.8069424667913222
100,all,r2-stds,0.48535084328104566
100,all,r2-pairwise_feat_corrs,0.009697586544124915
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,0.816196858882904
100,all,l2-stds,2.899230480194092
100,all,r2-means,0.7778558720209822
100,all,r2-stds,0.5036810812598602
100,all,r2-pairwise_feat_corrs,0.034270590790008944
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,0.8496800065040588
100,all,l2-stds,2.775728940963745
100,all,r2-means,0.7524782462464908
100,all,r2-stds,0.5059106951475614
100,all,r2-pairwise_feat_corrs,0.003481634707808607
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,0.791313111782074
100,all,l2-stds,2.848738431930542
100,all,r2-means,0.7886448014683204
100,all,r2-stds,0.4833273041815246
100,all,r2-pairwise_feat_corrs,0.028321401572909202
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,0.8123100996017456
100,all,l2-stds,2.8537986278533936
100,all,r2-means,0.7617795222488534
100,all,r2-stds,0.46490115755847705
100,all,r2-pairwise_feat_corrs,0.025636833507435675
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,0.8366338014602661
100,all,l2-stds,2.7715697288513184
100,all,r2-means,0.7661500959934989
100,all,r2-stds,0.5272530722541676
100,all,r2-pairwise_feat_corrs,0.02083836861280628
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,0.7724593877792358
100,all,l2-stds,2.7977652549743652
100,all,r2-means,0.8090267129087033
100,all,r2-stds,0.5175320789424663
100,all,r2-pairwise_feat_corrs,0.015626659826400064
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,0.8338702917098999
100,all,l2-stds,2.855224370956421
100,all,r2-means,0.7607422410171298
100,all,r2-stds,0.47629618410418656
100,all,r2-pairwise_feat_corrs,0.012104428600683306
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,0.7763954997062683
100,all,l2-stds,2.85495924949646
100,all,r2-means,0.8097918232759663
100,all,r2-stds,0.49530695107179346
100,all,r2-pairwise_feat_corrs,0.013930280620623696
100,all,l2-pairwise_feat_corrs,
