ncells,nfeatures,metric,value
100,all,l2-means,0.7385314106941223
100,all,l2-stds,2.7029991149902344
100,all,r2-means,0.8253677834181471
100,all,r2-stds,0.5354843148383561
100,all,r2-pairwise_feat_corrs,0.017057394815490158
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,0.701370358467102
100,all,l2-stds,2.766519546508789
100,all,r2-means,0.8472408151080794
100,all,r2-stds,0.5243779240412347
100,all,r2-pairwise_feat_corrs,0.024905336026892138
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,0.7581465244293213
100,all,l2-stds,2.7470743656158447
100,all,r2-means,0.8206743023543466
100,all,r2-stds,0.5473161895697952
100,all,r2-pairwise_feat_corrs,0.015899269437934443
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,0.7485146522521973
100,all,l2-stds,2.670452833175659
100,all,r2-means,0.8329897092604872
100,all,r2-stds,0.5636242302452009
100,all,r2-pairwise_feat_corrs,0.028877567167101815
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,0.7497945427894592
100,all,l2-stds,2.7378344535827637
100,all,r2-means,0.8173144934196319
100,all,r2-stds,0.5276346658486364
100,all,r2-pairwise_feat_corrs,0.023598126086520396
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,0.7110996842384338
100,all,l2-stds,2.705515146255493
100,all,r2-means,0.8348063698654798
100,all,r2-stds,0.5290948915599781
100,all,r2-pairwise_feat_corrs,0.028564418093923925
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,0.7837058305740356
100,all,l2-stds,2.7964320182800293
100,all,r2-means,0.8204892018611668
100,all,r2-stds,0.5246263655042065
100,all,r2-pairwise_feat_corrs,0.016614653528765153
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,0.7628998160362244
100,all,l2-stds,2.798628330230713
100,all,r2-means,0.8151922129154018
100,all,r2-stds,0.5090098966479233
100,all,r2-pairwise_feat_corrs,0.02898671167283936
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,0.7478592991828918
100,all,l2-stds,2.7249703407287598
100,all,r2-means,0.8337345806205665
100,all,r2-stds,0.5558242187923969
100,all,r2-pairwise_feat_corrs,0.01574132042610421
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,0.8131657242774963
100,all,l2-stds,2.6265175342559814
100,all,r2-means,0.8006773761491686
100,all,r2-stds,0.5392147631196185
100,all,r2-pairwise_feat_corrs,0.030657395547878087
100,all,l2-pairwise_feat_corrs,
